"Time","Boost pressure","Engine oil pressure","Engine oil level","Engine oil level","Cam position","TAG"
"sec","mbar","bar","l","mm","deg."," "
140.98,1004.0000,2.4400,4.4360,65.8000,634.1900,""
141.36,1004.0000,2.4400,4.4360,65.8000,309.6900,""
141.68,1004.0000,2.4000,4.4360,65.8000,309.7500,""
142.06,1004.0000,2.4400,4.4360,66.0000,561.0600,""
142.37,1004.0000,2.4400,4.4360,66.0000,454.0600,""
142.78,1004.0000,2.4400,4.4360,66.0000,129.8800,""
143.12,1004.0000,2.4400,4.4360,66.3000,273.3800,""
143.50,1004.0000,2.4400,4.4360,66.3000,561.0600,""
143.81,1004.0000,2.4400,4.4360,66.3000,454.0000,""
144.16,1004.0000,2.4400,4.4360,66.7000,634.1900,""
144.48,1004.0000,2.4400,4.4360,66.7000,634.0600,""
144.80,1004.0000,2.4400,4.4360,66.7000,634.0600,""
145.12,1004.0000,2.4400,4.4360,66.9000,634.1900,""
145.46,1004.0000,2.4400,4.4360,66.9000,21.0600,""
145.79,1004.0000,2.4400,4.4360,66.9000,21.0000,""
146.11,1004.0000,2.4400,4.4360,66.9000,93.7500,""
146.42,1004.0000,2.4400,4.4360,66.9000,21.0600,""
146.77,1004.0000,2.4400,4.4360,66.9000,94.0000,""
147.09,1004.0000,2.4400,4.4360,66.9000,93.8800,""
147.44,1004.0000,2.4400,4.4360,66.9000,273.5000,""
147.74,1004.0000,2.4400,4.4360,66.9000,130.0000,""
148.08,1004.0000,2.4400,4.4360,67.1000,309.7500,""
148.43,1004.0000,2.4400,4.4360,67.1000,309.6900,""
148.77,1004.0000,2.4400,4.4360,67.1000,561.0600,""
